Time: 0.50000000
Space		Analytical
0.00000000	300.00000000
0.05000000	275.22625341
0.10000000	251.15038797
0.15000000	228.43391372
0.20000000	207.67069568
0.25000000	189.36482163
0.30000000	173.91978577
0.35000000	161.63888738
0.40000000	152.73456298
0.45000000	147.34275205
0.50000000	145.53767863
0.55000000	147.34275205
0.60000000	152.73456298
0.65000000	161.63888738
0.70000000	173.91978577
0.75000000	189.36482163
0.80000000	207.67069568
0.85000000	228.43391372
0.90000000	251.15038797
0.95000000	275.22625341
1.00000000	300.00000000
