Final results for all the methods.
Time: 0.50000000
Space			 Analytical		 DuFortFrankel		 Richardson		 Laasonen		 CrankNicholson
0.00000000		300.00000000		300.00000000		300.00000000		300.00000000		300.00000000
0.05000000		275.22625341		275.23013018		-122098896959874940322971648.00000000		275.06769468		275.22354697
0.10000000		251.15038797		251.58293117		228079588030559931122843648.00000000		250.86169421		251.15053573
0.15000000		228.43391372		228.42570607		-305550411432014719234342912.00000000		228.06573065		228.44668052
0.20000000		207.67069568		208.42098683		348475871687228536739856384.00000000		207.28493179		207.70764970
0.25000000		189.36482163		189.30314805		-358025622780016833496875008.00000000		189.02144838		189.43643744
0.30000000		173.91978577		174.82946599		341589497546807883019059200.00000000		173.66435888		174.03270474
0.35000000		161.63888738		161.49980048		-310469862316928937658155008.00000000		161.49349440		161.79394391
0.40000000		152.73456298		153.68721757		277042153828622934673981440.00000000		152.69405686		152.92600694
0.45000000		147.34275205		147.14665431		-252116952809637576894840832.00000000		147.37693637		147.55883345
0.50000000		145.53767863		146.49253557		242959103458065823330992128.00000000		145.59885072		145.76247067
0.55000000		147.34275205		147.14665431		-252116952809637508175364096.00000000		147.37693637		147.55883345
0.60000000		152.73456298		153.68721757		277042153828622831594766336.00000000		152.69405686		152.92600694
0.65000000		161.63888738		161.49980048		-310469862316928800219201536.00000000		161.49349440		161.79394391
0.70000000		173.91978577		174.82946599		341589497546807745580105728.00000000		173.66435888		174.03270474
0.75000000		189.36482163		189.30314805		-358025622780016696057921536.00000000		189.02144838		189.43643744
0.80000000		207.67069568		208.42098683		348475871687228468020379648.00000000		207.28493179		207.70764970
0.85000000		228.43391372		228.42570607		-305550411432014616155127808.00000000		228.06573065		228.44668052
0.90000000		251.15038797		251.58293117		228079588030559828043628544.00000000		250.86169421		251.15053573
0.95000000		275.22625341		275.23013018		-122098896959874905963233280.00000000		275.06769468		275.22354697
1.00000000		300.00000000		300.00000000		300.00000000		300.00000000		300.00000000
